N T LP_floor IP_lower LP_upper dual_sortedness
40336 13446 40328 40334 40334.82781457 sorted
40337 13446 40329 40335 40335.94205298 sorted
40338 13446 40331 40337 40337.05794702 sorted
40339 13447 40331 40337 40337.80000000 sorted
40340 13447 40329 40338 40338.91058824 sorted
40341 13447 40332 40340 40340.02588235 sorted
40342 13448 40335 40341 40341.13764706 sorted
40343 13448 40334 40342 40342.13764706 sorted
40344 13448 40335 40343 40343.25294118 sorted
40345 13449 40335 40344 40344.34941176 sorted
40346 13449 40336 40345 40345.42235294 sorted
40347 13449 40340 40346 40346.53764706 sorted
40348 13450 40339 40347 40347.37764706 sorted
40349 13450 40339 40348 40348.49294118 sorted
40350 13450 40341 40349 40349.60823529 sorted
40351 13451 40344 40350 40350.25529412 sorted
40352 13451 40344 40351 40351.36941176 sorted
40353 13451 40346 40352 40352.48470588 sorted
40354 13452 40347 40353 40353.33882353 sorted
40355 13452 40349 40354 40354.45176471 sorted
40356 13452 40347 40355 40355.56705882 sorted
40357 13453 40349 40355 40355.95598349 sorted
40358 13453 40351 40357 40357.06602476 sorted
40359 13453 40350 40358 40358.18156809 sorted
40360 13454 40350 40358 40358.97386520 sorted
40361 13454 40354 40359 40359.97386520 sorted
40362 13454 40354 40361 40361.08940853 sorted
40363 13455 40355 40362 40362.04094631 sorted
40364 13455 40356 40363 40363.11373976 sorted
40365 13455 40357 40364 40364.22929936 sorted
40366 13456 40356 40364 40364.63845486 sorted
40367 13456 40359 40365 40365.74869792 sorted
40368 13456 40360 40366 40366.86414931 sorted
40369 13457 40361 40367 40367.71801926 sorted
40370 13457 40361 40368 40368.83218707 sorted
40371 13457 40363 40369 40369.94773040 sorted
40372 13458 40364 40370 40370.80192572 sorted
40373 13458 40366 40371 40371.91471802 sorted
40374 13458 40368 40373 40373.03026135 sorted
40375 13459 40367 40373 40373.84869326 sorted
40376 13459 40368 40374 40374.96423659 sorted
40377 13459 40370 40376 40376.07977992 sorted
40378 13460 40372 40376 40376.83631362 sorted
40379 13460 40373 40377 40377.95048143 sorted
40380 13460 40373 40379 40379.06602476 sorted
40381 13461 40372 40379 40379.84181568 sorted
40382 13461 40377 40380 40380.95598349 sorted
40383 13461 40376 40382 40382.07152682 sorted
40384 13462 40376 40382 40382.92434663 sorted
40385 13462 40376 40384 40384.03988996 sorted
40386 13462 40378 40385 40385.15543329 sorted
40387 13463 40378 40385 40385.71526823 sorted
40388 13463 40379 40386 40386.82806052 sorted
40389 13463 40382 40387 40387.94360385 sorted
40390 13464 40383 40388 40388.83768913 sorted
40391 13464 40384 40389 40389.95185695 sorted
40392 13464 40385 40391 40391.06740028 sorted
