40274: [40272, 40272.94168660287]
40275: [40273, 40274.05711722488]
40276: [40273, 40274.78830083566]
40277: [40274, 40275.78830083566]
40278: [40275, 40276.90362116991]
40279: [40276, 40277.681730148484]
40280: [40277, 40278.797288573274]
40281: [40278, 40279.912846998064]
40282: [40279, 40280.708913649025]
40283: [40280, 40281.708913649025]
40284: [40281, 40282.82423398329]
40285: [40283, 40283.575766016715]
40286: [40283, 40284.648746518105]
40287: [40284, 40285.76406685237]
40288: [40284, 40286.57242339833]
40289: [40285, 40287.57242339833]
40290: [40286, 40288.68774373259]
40291: [40289, 40289.22498386056]
40292: [40290, 40290.33344092963]
40293: [40291, 40291.44899935442]
40294: [40291, 40292.18314424635]
40295: [40292, 40293.2793084819]
40296: [40293, 40294.39492166397]
40297: [40294, 40295.411554783954]
40298: [40295, 40296.48447145062]
40299: [40296, 40297.60001929013]
40300: [40298, 40298.500409668166]
40301: [40298, 40299.61470708726]
40302: [40299, 40300.730233510854]
40303: [40301, 40301.548136009835]
40304: [40302, 40302.66284309709]
40305: [40303, 40303.77836952069]
40306: [40303, 40304.59811552642]
40307: [40305, 40305.70790659566]
40308: [40306, 40306.82343301926]
40309: [40307, 40307.65710774273]
40310: [40307, 40308.77324866858]
40311: [40309, 40309.88877509218]
40312: [40310, 40310.69336337566]
40313: [40311, 40311.80766079476]
40314: [40312, 40312.92318721835]
40315: [40313, 40313.77898402294]
40316: [40314, 40314.85190495699]
40317: [40315, 40315.96743138058]
40318: [40316, 40316.63705632716]
40319: [40317, 40317.74739583333]
40320: [40318, 40318.86294367284]
40321: [40319, 40319.656553398054]
40322: [40320, 40320.729368932036]
40323: [40321, 40321.84506472492]
40324: [40322, 40322.740695792876]
40325: [40322, 40323.847491909386]
40326: [40324, 40324.96318770226]
40327: [40325, 40325.653973509936]
40328: [40326, 40326.769867549665]
40329: [40327, 40327.8857615894]
40330: [40328, 40328.73178807947]
40331: [40329, 40329.84105960265]
40332: [40330, 40330.95695364238]
40333: [40331, 40331.791390728475]
40334: [40332, 40332.90728476821]
40335: [40334, 40334.02317880794]
40336: [40334, 40334.82781456954]
40337: [40335, 40335.94205298013]
40338: [40336, 40337.05794701987]
40339: [40336, 40337.8]
40340: [40338, 40338.910588235296]
40341: [40340, 40340.025882352944]
40342: [40341, 40341.13764705882]
40343: [40342, 40342.13764705882]
40344: [40342, 40343.25294117647]
40345: [40344, 40344.349411764706]
40346: [40344, 40345.422352941176]
40347: [40346, 40346.53764705882]
40348: [40347, 40347.37764705882]
40349: [40347, 40348.492941176475]
40350: [40348, 40349.608235294116]
40351: [40350, 40350.25529411765]
40352: [40351, 40351.3694117647]
40353: [40352, 40352.48470588235]
40354: [40353, 40353.33882352941]
40355: [40354, 40354.45176470588]
40356: [40355, 40355.56705882353]
40357: [40354, 40355.95598349381]
40358: [40357, 40357.06602475928]
40359: [40358, 40358.18156808803]
40360: [40358, 40358.97386519945]
40361: [40359, 40359.97386519945]
40362: [40360, 40361.0894085282]
40363: [40361, 40362.04094631483]
40364: [40362, 40363.11373976342]
40365: [40363, 40364.22929936306]
40366: [40364, 40364.63845486111]
40367: [40365, 40365.74869791667]
40368: [40366, 40366.864149305555]
40369: [40367, 40367.71801925722]
40370: [40368, 40368.83218707015]
40371: [40369, 40369.9477303989]
40372: [40370, 40370.801925722146]
40373: [40371, 40371.91471801926]
40374: [40372, 40373.030261348]
40375: [40373, 40373.84869325997]
40376: [40373, 40374.96423658872]
40377: [40374, 40376.07977991747]
40378: [40375, 40376.836313617605]
40379: [40375, 40377.95048143053]
40380: [40378, 40379.06602475929]
40381: [40378, 40379.84181568088]
40382: [40380, 40380.95598349381]
40383: [40381, 40382.071526822554]
40384: [40381, 40382.92434662999]
40385: [40382, 40384.03988995873]
40386: [40383, 40385.15543328748]
40387: [40385, 40385.715268225584]
40388: [40386, 40386.8280605227]
40389: [40387, 40387.94360385145]
40390: [40388, 40388.83768913343]
40391: [40389, 40389.951856946354]
40392: [40390, 40391.067400275104]
40393: [40391, 40391.53199498118]
40394: [40392, 40392.644918444166]
40395: [40393, 40393.76035131744]
40396: [40394, 40394.550815558345]
40397: [40395, 40395.66624843162]
40398: [40396, 40396.78168130489]
40399: [40397, 40397.63989962359]
40400: [40398, 40398.75470514429]
40401: [40399, 40399.87013801756]
40402: [40400, 40400.81176470588]
40403: [40401, 40401.91764705882]
40404: [40402, 40403.03294117647]
40405: [40403, 40403.70012547051]
40406: [40404, 40404.81430363865]
40407: [40405, 40405.92973651192]
40408: [40406, 40406.81430363865]
40409: [40407, 40407.9234629862]
40410: [40408, 40409.03889585947]
40411: [40409, 40409.81555834379]
40412: [40410, 40410.88833124216]
40413: [40411, 40412.003764115434]
40414: [40412, 40412.830588235294]
40415: [40413, 40413.94588235294]
40416: [40414, 40415.06117647059]
40417: [40415, 40415.8017565872]
40418: [40416, 40416.90966122961]
40419: [40417, 40418.025094102886]
40420: [40418, 40418.8356336261]
40421: [40419, 40419.94981179423]
40422: [40421, 40421.0652446675]
40423: [40421, 40421.80928481807]
40424: [40422, 40422.92471769135]
40425: [40423, 40424.040150564615]
40426: [40424, 40425.154328732744]
40427: [40425, 40426.154328732744]
40428: [40426, 40427.269761606025]
40429: [40426, 40427.95357590966]
40430: [40428, 40429.06775407779]
40431: [40429, 40430.183186951064]
40432: [40430, 40431.08030112923]
40433: [40431, 40432.08030112923]
40434: [40432, 40433.19573400251]
40435: [40433, 40433.94604767879]
40436: [40434, 40435.058971141785]
40437: [40435, 40436.17440401506]
40438: [40436, 40436.97616060226]
40439: [40436, 40438.09159347553]
40440: [40438, 40439.207026348806]
40441: [40439, 40440.015056461736]
40442: [40441, 40441.130489335]
40443: [40441, 40442.24592220828]
40444: [40442, 40443.13174404015]
40445: [40444, 40444.22835633626]
40446: [40444, 40445.34378920954]
40447: [40446, 40446.373902133]
40448: [40447, 40447.48808030113]
40449: [40448, 40448.6035131744]
40450: [40448, 40449.08823529412]
40451: [40450, 40450.19294117647]
40452: [40451, 40451.30823529412]
40453: [40452, 40452.11529411765]
40454: [40451, 40453.2294117647]
40455: [40452, 40454.34470588235]
40456: [40454, 40455.025094102886]
40457: [40455, 40456.136762860726]
40458: [40456, 40457.252195734]
40459: [40457, 40457.92095357591]
40460: [40458, 40459.035131744036]
40461: [40459, 40460.15056461732]
40462: [40460, 40461.00501882058]
40463: [40461, 40462.115432873274]
40464: [40462, 40463.23086574655]
40465: [40463, 40463.96612296111]
40466: [40464, 40465.03889585947]
40467: [40465, 40466.15432873275]
40468: [40467, 40467.26850690088]
40469: [40467, 40468.383939774154]
40470: [40469, 40469.49937264743]
40471: [40470, 40470.24662023761]
40472: [40470, 40471.34985661614]
40473: [40472, 40472.46538303974]
40474: [40472, 40473.28103236378]
40475: [40473, 40474.388365424005]
40476: [40473, 40475.503891847606]
40477: [40475, 40476.33306022122]
40478: [40476, 40477.446947972145]
40479: [40478, 40478.56247439574]
40480: [40477, 40479.09319899244]
40481: [40480, 40480.18136020152]
40482: [40480, 40481.29722921914]
40483: [40481, 40482.04096681688]
40484: [40482, 40483.15526423597]
40485: [40483, 40484.27079065956]
40486: [40484, 40485.095862351496]
40487: [40485, 40486.095862351496]
40488: [40486, 40487.21138877509]
40489: [40487, 40488.02470686767]
40490: [40488, 40489.12102177554]
40491: [40488, 40490.23659966499]
40492: [40489, 40491.02846832397]
40493: [40490, 40492.02846832397]
40494: [40491, 40493.14394546913]
40495: [40493, 40493.97233360064]
40496: [40494, 40495.075781876505]
40497: [40495, 40496.19125902165]
40498: [40497, 40497.04530874098]
40499: [40498, 40498.04530874098]
40500: [40498, 40499.160785886124]
40501: [40499, 40499.49787955895]
40502: [40500, 40500.61153519932]
40503: [40501, 40501.72688719253]
40504: [40502, 40502.54877014419]
40505: [40503, 40503.64461407973]
40506: [40504, 40504.75996607295]
40507: [40505, 40505.75996607295]
40508: [40506, 40506.87616624258]
40509: [40507, 40507.991518235795]
40510: [40508, 40508.76675148431]
40511: [40509, 40509.87616624258]
40512: [40510, 40510.991518235795]
40513: [40511, 40511.94486853266]
40514: [40512, 40513.057675996606]
40515: [40514, 40514.17302798982]
40516: [40514, 40514.88914728683]
40517: [40515, 40515.99844961241]
40518: [40517, 40517.11395348837]
40519: [40517, 40517.820930232556]
40520: [40517, 40518.93100775194]
40521: [40519, 40520.04651162791]
40522: [40520, 40520.81705426356]
40523: [40521, 40521.92868217054]
40524: [40522, 40523.044186046514]
40525: [40523, 40523.84418604651]
40526: [40524, 40524.95503875969]
40527: [40525, 40526.07054263566]
40528: [40526, 40526.83545377439]
40529: [40527, 40527.83545377439]
40530: [40528, 40528.9508057676]
40531: [40528, 40529.77184054283]
40532: [40529, 40530.844783715016]
40533: [40531, 40531.96013570823]
40534: [40532, 40532.77184054283]
40535: [40533, 40533.88634435963]
40536: [40534, 40535.00169635284]
40537: [40535, 40535.84648006785]
40538: [40536, 40536.91942324003]
40539: [40538, 40538.03477523325]
40540: [40538, 40538.9262086514]
40541: [40539, 40540.03901611535]
40542: [40541, 40541.15436810856]
40543: [40541, 40541.859202714164]
40544: [40542, 40542.9754028838]
40545: [40544, 40544.09075487702]
40546: [40543, 40544.15097540288]
40547: [40544, 40545.251908396946]
40548: [40546, 40546.367260390165]
40549: [40546, 40547.48430873622]
40550: [40548, 40548.597116200166]
40551: [40549, 40549.712468193386]
40552: [40550, 40550.525021204405]
40553: [40551, 40551.63782866836]
40554: [40552, 40552.75318066157]
40555: [40553, 40553.52841391009]
40556: [40553, 40554.60135708227]
40557: [40555, 40555.71670907549]
40558: [40556, 40556.51738761662]
40559: [40557, 40557.51738761662]
40560: [40558, 40558.632739609835]
40561: [40559, 40559.6943319838]
40562: [40560, 40560.80364372469]
40563: [40561, 40561.91902834008]
40564: [40562, 40562.71862348178]
40565: [40563, 40563.83451417004]
40566: [40564, 40564.94989878543]
40567: [40565, 40565.80921052632]
40568: [40566, 40566.922570850205]
40569: [40567, 40568.03795546559]
40570: [40568, 40568.91548582996]
40571: [40569, 40570.0278340081]
40572: [40570, 40571.14321862348]
40573: [40571, 40571.962864721485]
40574: [40572, 40573.03580901857]
40575: [40573, 40574.15119363395]
40576: [40574, 40574.94410692588]
40577: [40575, 40575.94410692588]
40578: [40576, 40577.0595382746]
40579: [40577, 40577.91919805589]
40580: [40578, 40579.029769137305]
40581: [40580, 40580.145200486026]
40582: [40580, 40580.687871077185]
40583: [40581, 40581.687871077185]
40584: [40582, 40582.8032230704]
40585: [40583, 40583.899067005936]
40586: [40584, 40585.01357082273]
40587: [40586, 40586.128922815944]
40588: [40586, 40586.81933842239]
40589: [40587, 40587.92875318066]
40590: [40589, 40589.044105173874]
40591: [40588, 40589.59626802374]
40592: [40590, 40590.7133163698]
40593: [40591, 40591.828668363014]
40594: [40592, 40592.59881255301]
40595: [40593, 40593.71162001696]
40596: [40594, 40594.82697201018]
40597: [40595, 40595.65309584394]
40598: [40596, 40596.76590330789]
40599: [40597, 40597.8812553011]
40600: [40598, 40598.69804919423]
40601: [40599, 40599.80407124682]
40602: [40600, 40600.91942324003]
40603: [40601, 40602.01190476191]
40604: [40602, 40603.08482142857]
40605: [40603, 40604.20014880953]
40606: [40604, 40605.02455357143]
40607: [40606, 40606.11383928571]
40608: [40606, 40607.229166666664]
40609: [40607, 40607.97849462366]
40610: [40609, 40609.094086021505]
40611: [40609, 40610.209677419356]
40612: [40610, 40611.10752688172]
40613: [40611, 40612.217741935485]
40614: [40613, 40613.33333333333]
40615: [40613, 40614.091397849465]
40616: [40614, 40615.1935483871]
40617: [40616, 40616.30913978495]
40618: [40617, 40617.155913978495]
40619: [40618, 40618.2688172043]
40620: [40619, 40619.38440860215]
40621: [40619, 40620.17204301075]
40622: [40621, 40621.284946236556]
40623: [40620, 40622.40053763441]
40624: [40623, 40623.23655913978]
40625: [40623, 40624.352150537634]
40626: [40625, 40625.467741935485]
40627: [40624, 40625.90521978022]
40628: [40626, 40627.01373626373]
40629: [40627, 40628.12912087912]
40630: [40627, 40628.976362179485]
40631: [40629, 40630.08934294872]
40632: [40630, 40631.20472756411]
40633: [40631, 40632.03044871795]
40634: [40631, 40633.13661858974]
40635: [40633, 40634.252003205125]
40636: [40634, 40634.58585164835]
40637: [40635, 40635.58585164835]
40638: [40636, 40636.70123626374]
40639: [40637, 40637.37980769231]
40640: [40637, 40638.49519230769]
40641: [40639, 40639.61057692308]
40642: [40640, 40640.52626105044]
40643: [40641, 40641.63962558503]
40644: [40642, 40642.75507020281]
40645: [40642, 40643.56734269371]
40646: [40644, 40644.64014560582]
40647: [40645, 40645.755590223605]
40648: [40646, 40646.5668226729]
40649: [40647, 40647.65574622985]
40650: [40648, 40648.771190847634]
40651: [40649, 40649.496619864796]
40652: [40650, 40650.56942277691]
40653: [40651, 40651.684867394695]
40654: [40652, 40652.48621944878]
40655: [40653, 40653.59906396256]
40656: [40654, 40654.71450858034]
40657: [40655, 40655.477521263674]
40658: [40655, 40656.58930741191]
40659: [40656, 40657.70473876063]
40660: [40658, 40658.60024301337]
40661: [40659, 40659.713244228435]
40662: [40659, 40660.828675577155]
40663: [40660, 40661.74605103281]
40664: [40661, 40662.86148238153]
40665: [40663, 40663.97691373026]
40666: [40664, 40664.758201701094]
40667: [40664, 40665.86391251519]
40668: [40666, 40666.97934386392]
40669: [40665, 40667.815309842044]
40670: [40668, 40668.92952612394]
40671: [40669, 40670.04495747266]
40672: [40670, 40670.88699878493]
40673: [40671, 40672.001215066826]
40674: [40672, 40673.116646415554]
40675: [40672, 40673.96840826245]
40676: [40674, 40675.04131227218]
40677: [40675, 40676.1567436209]
40678: [40675, 40676.82259414226]
40679: [40677, 40677.9280334728]
40680: [40678, 40679.04351464435]
40681: [40678, 40679.817992719705]
40682: [40680, 40680.89079563183]
40683: [40681, 40682.00624024961]
40684: [40680, 40682.78055122205]
40685: [40683, 40683.89651586063]
40686: [40684, 40685.01196047842]
40687: [40684, 40685.87155486219]
40688: [40686, 40686.97451898076]
40689: [40686, 40688.08996359854]
40690: [40688, 40688.960669456064]
40691: [40689, 40690.049372384936]
40692: [40691, 40691.16485355648]
40693: [40691, 40691.88368200837]
40694: [40692, 40692.95648535565]
40695: [40694, 40694.0719665272]
40696: [40694, 40694.88619246862]
40697: [40695, 40695.88619246862]
40698: [40696, 40697.00167364017]
40699: [40697, 40698.00167364017]
40700: [40698, 40699.11631799163]
40701: [40700, 40700.23179916318]
40702: [40700, 40701.12635983263]
40703: [40702, 40702.2410041841]
40704: [40703, 40703.356485355645]
